chain,chain_id,status,block,code.seaport.size,code.seaport.hash,code.controller.size,code.controller.hash,code.conduit.size,code.conduit.hash,code.helper.size,code.helper.hash,code.captain.size,code.captain.hash,code.creator.size,code.creator.hash,code.control.size,canonical,zero_conduit,key,owner,potential,channel_count,channels,captain_owner,captain_potential,captain_revoker,captain_controller,impl.seaport,impl.controller,impl.conduit,impl.helper,impl.captain,impl.creator,beacon.seaport,beacon.controller,unauthorized.controller.update,unauthorized.controller.transfer,unauthorized.controller.accept,unauthorized.captain.update,unauthorized.captain.accept
arbitrum-nova,42170,LIVE,85274066,23981,0xeb9e53c74ebab96610719971f40210a503beea33ad00aecf55b7f0d08ed2fffc,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0x70D1890065e3672b0C571ad0675bEE7757263D86,0x0000000000000000000000000000000000000000,0x191f802fFBd089c34cf2934027Cf7682afe0750e,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x356e0057"""
arbitrum-one,42161,LIVE,503164673,23981,0x297200fa59c084fe1b9991faf59fcf018c3598a415aab8dd30ba61246261f703,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0x7847D59B33BF7d07cf5d324df023a4fec51ff4f9,0x0000000000000000000000000000000000000000,0xa02BfA533E59015A8caFC5D947A0868c937BB0B3,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x356e0057"""
avalanche,43114,LIVE,94806314,23981,0x24de285e7ad399e67a66d86e6743ec600c07732f7aae0d606c1ec44f20697064,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0x175085296f2D436A4D9643B71A786D4AC7F03014,0x0000000000000000000000000000000000000000,0x7D5B64bD9BEE7d7697866eaeB01F9F653c5668F9,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x356e0057"""
base,8453,LIVE,51058485,23981,0x2d5cb8553e21a19550413299c05a6493cc606fb0000b5042328a5ba06bfdaf35,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0xEE6e23F6a43B2fc532499Aec0Dd242FDd2Db3AE5,0x0000000000000000000000000000000000000000,0xe522BA9B42DFf1D3c4b84d74179564075fB86E29,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted: 5nW, data: ""0x356e0057"""
bsc,56,LIVE,120765886,23981,0x16bd146d392a011a996f447b813623d4857ba2d7621af38194a009cbc03ab5f4,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0x133CC7bEFd0F43533A343225c3A0bAE77AC2F432,0x0000000000000000000000000000000000000000,0x3fBe159CcA01C91Ea9a90957e3e754f2C08D885c,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted: 5nW, data: ""0x356e0057"""
canto,7700,NO_RPC_OR_SEAPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celo,42220,NO_RPC_OR_SEAPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethereum,1,LIVE,25935618,23981,0x74499ac0cce14428e4b41541d5e44f28f5a6882a1051d0118867c2a93cd5aec0,8820,0x880348b652e7cce91216153a4d0107e70c77b92192f3d7a127ff1f1351961948,3190,0x069efdc9b946a332dce9951324fa197268e3ff0e00e44c6bf36049fc53113a41,3884,0xfca51532ea72b2f20041b9d008770cb6cfd9e90b7cf6ec271512a677b778b022,2206,0xb5506a1c670037fc613cf35627741dbee6951feeafc81e145247a09864b2c63a,1001,0x6d797070c9afc4c9752baf88fda8e0ad5e897f9c657e666462e9365beef9243b,0,0x1E0049783F008A0085193E00003D00cd54003c71;true,0xf9ed144bACaed98d0f3899B8B56c965D1A966D08;true,0x0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f0000,0x0000000000d132a69d773c838080dc4Fa478388F,0x0000000000000000000000000000000000000000,3,"[0x00000000000000ADc04C56Bf30aC9d3c0aAF14dC, 0x0000000000c2d145a2526bD8C716263bFeBe1A72, 0x0000000000000068F116a894984e2DB1123eB395]",0xC669B5F25F03be2ac0323037CB57f49eB543657a,0x0000000000000000000000000000000000000000,0x21B8846849061A470B5177806896616Cc1562Abc,0x00000000F9490004C11Cef243f5400493c00Ad63,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,"ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0xd4ed9a170000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x88c3a1150000000000000000000000001e0049783f008a0085193e00003d00cd54003c71""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x6db2465f""","ERROR:Error: server returned an error response: error code 3: execution reverted, data: ""0x356e0057"""
fantom,250,NO_RPC_OR_SEAPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnosis,100,NO_RPC_OR_SEAPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
